,0
535,209820852
536,205509143
537,477523
538,232341982
539,221899576
540,208070286
541,233155545
542,230840741
543,236113896
544,243980899
545,32735714
546,31780593
547,32352444
548,207486842
549,227064785
550,44813456
551,33332459
552,200022902
553,220267709
554,201852633
555,32106918
556,33199054
557,46714367
558,48319848
559,34176117
560,32054919
561,210366092
562,45775504
563,209772611
564,232037697
565,210403299
566,47013789
567,216722620
568,29273
569,208854645
570,206235628
571,523770
572,40906271
573,49482934
574,37557399
575,47954160
576,44409279
577,213570849
578,33935677
579,44000618
580,46637815
581,217833221
582,203737944
583,210335505
584,43109975
585,36457051
586,217567253
587,211812608
588,34028746
589,38419529
590,43954064
591,47793094
592,227196168
593,32579221
594,32615874
595,50089114
596,243012213
597,37291894
598,44937993
599,209507410
600,42637323
601,33014093
602,200262740
603,209459580
604,48389521
605,47178936
606,38088641
607,214475477
608,202348537
609,46740489
610,237074245
611,216725319
612,215791406
613,202016402
614,33179400
615,218222112
616,213296079
617,33643929
618,232830840
619,36239113
620,40768909
621,32006475
622,239163503
623,212188827
624,40881545
625,50910971
626,201830955
627,208904997
628,240939795
629,32626162
630,33254923
631,229798588
632,31789637
633,37894262
634,42323130
635,239598676
636,226909876
637,239263935
638,234882839
639,50772397
640,220728039
641,37396285
642,31844715
643,39820742
644,237010620
645,42420567
646,50083014
647,234255366
648,230169796
649,48360428
650,35083182
651,50333900
652,49192007
653,203910778
654,46161240
655,230033996
656,228073489
657,33484352
658,35733871
659,209191172
660,228578828
661,234126152
662,36704612
663,39163696
664,50440023
665,33898360
666,223074954
667,40018596
668,22170700
669,41382374
670,226313111
671,214838094
672,209224160
673,201270988
674,230957845
675,208195475
676,217416797
677,204114831
678,31637113
679,213962274
680,200244360
681,48898809
682,204014020
683,33675209
684,47010627
685,230197294
686,49801617
687,230426089
688,206107992
689,202533844
690,208112016
691,229016657
692,39257842
693,36998301
694,227932438
695,38674956
696,32844463
697,230547875
698,233630166
699,201875104
700,204965023
701,205967716
702,226035581
703,36806708
704,213648603
705,238322278
706,233402501
707,42367529
708,35005162
709,215952317
710,222025807
711,213870451
712,34506133
713,209823866
714,241740908
715,237787833
716,28288768
717,115904
718,43874980
719,40975896
720,236470271
721,36963849
722,36931568
723,226637902
724,32285902
725,51357700
726,229330462
727,37174278
728,222023745
729,215788537
730,219815917
731,45127563
732,207790518
733,34038736
734,242981009
735,239565813
736,35250098
737,240194786
738,213519997
739,200061860
740,200240302
741,34402587
742,211010547
743,227011522
744,34713871
745,205919215
746,33129839
747,204561567
748,206501966
749,45474601
750,33272300
751,210644978
752,214560562
753,234154507
754,39827936
755,205077283
756,235936879
757,46127746
758,232321717
759,48403320
760,218149899
761,42413226
762,33519811
763,215991227
764,230074156
765,45485462
766,220029047
767,211301157
768,354786
769,203349564
770,76613
771,200393514
772,235626113
773,37912336
774,208483234
775,202029395
776,208035546
777,37735232
778,34381188
779,229588667
780,225713502
781,204900998
782,223975327
783,203847996
784,230942789
785,234276456
786,214354462
787,214937683
788,49611287
789,47537083
790,49266260
791,37889323
792,33015088
793,213030457
794,228451258
795,38449768
796,40279311
797,40446527
798,40181710
799,43515875
800,218192464
801,241923989
802,208431727
803,230176448
804,38007926
805,228214530
806,209739523
807,32685420
808,33061771
809,229873947
810,36686570
811,34847827
812,36874384
813,43246330
814,49327379
815,39782238
816,37711935
817,228645746
818,236373823
819,237044195
820,229025061
821,43025065
822,48302376
823,210417096
824,233685891
825,213877423
826,41891815
827,202819788
828,204586120
829,234750976
830,34827719
831,34428768
832,206820433
833,200752016
834,242259564
835,37610140
836,46162460
837,36746696
838,227271872
839,201737611
840,36192348
841,32588144
842,226170780
843,40574025
844,221798203
845,34670533
846,213190267
847,237494049
848,210500140
849,39888872
850,233317083
851,203624638
852,201531395
853,206994998
854,44248578
855,215729419
856,44746703
857,35746868
858,229208120
859,237986528
860,41171390
861,37149523
862,36872602
863,236038019
864,215398913
865,47367233
866,32928587
867,31614059
868,203623728
869,209655797
870,206037077
871,34701364
872,203891642
873,243075714
874,32591898
875,203966185
876,50126457
877,240568866
878,32291536
879,200529734
880,230218256
881,201629910
882,235892127
883,216458869
884,218524896
885,38091660
886,235684542
887,211930384
888,200787008
889,234935037
890,34370223
891,45047020
892,50807930
893,200060117
894,203542146
895,37773910
896,217654978
897,200315348
898,45798484
899,228074375
900,35416418
901,38673657
902,208152565
903,49870513
904,231821263
905,232099594
906,207748948
907,207597511
908,234494468
909,216692233
910,219125848
911,231984958
912,227504477
913,232824010
914,39862641
915,231520812
916,228581138
917,242903715
918,34988890
919,212382802
920,37033788
921,212214678
922,42283450
923,42884813
924,49077697
925,203984435
926,242282799
927,37695973
928,201438263
929,37189953
930,42728428
931,40479118
932,204213694
933,237467424
934,42935103
935,40179677
936,210706591
937,203163404
938,209408457
939,200181462
940,226749657
941,227299443
942,211821800
943,50473464
944,235559023
945,232329925
946,47338660
947,235136592
948,214253880
949,239517317
950,32697350
951,207757401
952,37033473
953,218872447
954,33874262
955,44694153
956,233071785
957,47233756
958,48952958
959,233723262
960,217682549
961,234553069
962,50016978
963,209698149
964,236405574
965,46715943
966,202609864
967,212084838
968,43241207
969,47590282
970,208335889
971,226819493
972,201983645
973,205428541
974,222833322
975,39917296
976,215349170
977,215894110
978,200672947
979,208957319
980,205406232
981,39487990
982,31826233
983,233673606
984,51214528
985,221429919
986,32543606
987,243171459
988,220692298
989,38011744
990,238381485
991,202182341
992,242539962
993,204131491
994,218374335
995,227817360
996,43828700
997,212352575
998,49414929
999,244033841
1000,34734098
1001,205414385
1002,211977710
1003,33838810
1004,225809765
1005,243259121
1006,242210388
1007,47112919
1008,32177102
1009,51001747
1010,202566243
1011,35910545
1012,31985508
1013,216927667
1014,229001946
1015,35131450
1016,229458008
1017,46671023
1018,41281243
1019,209404810
1020,205901721
1021,230763414
1022,209857776
1023,201453963
1024,34015259
1025,206424939
1026,228928601
1027,210179941
1028,213985692
1029,230146634
1030,38780715
1031,231154692
1032,203623562
1033,51210709
1034,228759722
1035,210234069
1036,205173418
1037,45043199
1038,233124144
1039,50558697
1040,37049055
1041,39938411
1042,226352536
1043,33252437
1044,206024542
1045,34914559
1046,203170473
1047,229743915
1048,151182
1049,203663762
1050,213835098
1051,243716093
1052,42690339
1053,40371228
1054,41414735
1055,230637731
1056,214581980
1057,222911131
1058,43469930
1059,204187228
1060,232407420
1061,49614631
1062,201375555
1063,205751209
1064,212786765
1065,217966094
1066,234239319
1067,210983118
1068,230198158
1069,214315624
1070,219465453
1071,49426988
1072,214636208
1073,48376595
1074,203631372
1075,211317286
1076,216948732
1077,208110080
1078,225144476
1079,45863189
1080,201402341
1081,33320581
1082,336581
1083,35502834
1084,48500689
1085,39567053
1086,48303703
1087,46280889
1088,243318088
1089,227172181
1090,33339842
1091,220386920
1092,48360366
1093,44127315
1094,208474208
1095,209533853
1096,200167874
1097,231883607
1098,227517907
1099,219994564
1100,217606728
1101,238125109
1102,214675871
1103,226622532
1104,205780119
1105,47717408
1106,33639562
1107,214734013
1108,207648849
1109,227629299
1110,202693366
1111,235115682
1112,33920591
1113,38861558
1114,216971443
1115,32144984
1116,49009683
1117,230369452
1118,208155725
1119,201450699
1120,200501215
1121,209770313
1122,33116480
1123,203844795
1124,47429495
1125,32623359
1126,50249339
1127,220133838
1128,44798014
1129,218858747
1130,214485190
1131,47771445
1132,38461344
1133,237393
1134,215710228
1135,49807649
1136,231815181
1137,240646055
1138,202629184
1139,50724750
1140,48315114
1141,40850090
1142,209343448
1143,206950633
1144,34208563
1145,200500169
1146,51158973
1147,38119107
1148,210137489
1149,205405843
1150,44867845
1151,209382927
1152,243592531
1153,200293912
1154,205679493
1155,32782326
1156,208548621
1157,45604517
1158,205658896
1159,32824418
1160,44621804
1161,42070877
1162,32721469
1163,36261829
1164,211652964
1165,42748536
1166,41060645
1167,49063819
1168,36552756
1169,202297037
1170,230574960
1171,40462021
1172,233998684
1173,241050416
1174,206965635
1175,31590734
1176,39438195
1177,230225435
1178,230355774
1179,36346732
1180,217449664
1181,217194607
1182,43619454
1183,36731087
1184,213508315
1185,33370354
1186,44741675
1187,210262697
1188,48300113
1189,42944213
1190,213728893
1191,205195024
1192,217043311
1193,207324267
1194,200262176
1195,219449685
1196,50539092
1197,210742081
1198,218689970
1199,201913817
1200,205681941
1201,32841247
1202,32525133
1203,228138471
1204,47237513
1205,200523219
1206,210978095
1207,214608606
1208,42731444
1209,45688239
1210,32800100
1211,38128587
1212,215458630
1213,202248180
1214,202557159
1215,212995656
1216,38593727
1217,49289359
1218,233742451
1219,208526196
1220,220693068
1221,47507068
1222,204529002
1223,227091983
1224,227769719
1225,31921131
1226,32492972
1227,240822069
1228,207138547
1229,212770783
1230,51317048
1231,216923435
1232,209099107
1233,38646962
1234,41960234
1235,235588263
1236,48687027
1237,201474184
1238,39484208
1239,237355957
1240,231041567
1241,227171968
1242,206077369
1243,33763158
1244,34912994
1245,35191992
1246,40561227
1247,201971807
1248,222935945
1249,51303961
1250,241255522
1251,230495111
1252,42793419
1253,50212251
1254,35109662
1255,213115551
1256,217362672
1257,215123894
1258,36876085
1259,34930256
1260,236614743
1261,22609278
1262,202703388
1263,33600943
1264,41560051
1265,36402234
1266,226109257
1267,207823836
1268,32291022
1269,203854040
1270,204041863
1271,38123935
1272,240573935
1273,203642399
1274,39643088
1275,38945495
1276,48546260
1277,38486528
1278,49622134
1279,200362321
1280,40021578
1281,32876138
1282,213511089
1283,201852228
1284,220986225
1285,42171342
1286,228535900
1287,226222279
1288,38240898
1289,44728701
1290,38976228
1291,203095795
1292,51158181
1293,31854985
1294,36483385
1295,207771
1296,215412415
1297,211662188
1298,40216
1299,39431774
1300,213454109
1301,38597182
1302,42086091
1303,33145052
1304,31674354
1305,33189562
1306,45871815
1307,200188774
1308,219659460
1309,37632576
1310,40132818
1311,242667680
1312,39229566
1313,214471016
1314,228948170
1315,36595018
1316,217828636
1317,520602
1318,241577694
1319,241614800
1320,38930063
1321,35424334
1322,496294
1323,200012451
1324,213449946
1325,45118121
1326,207214266
1327,49433450
1328,47707228
1329,212016342
1330,34750048
1331,45404339
1332,33292283
1333,211275096
1334,205425768
1335,39573448
1336,221509147
1337,228166379
1338,41967624
1339,233819620
1340,218289302
1341,214393132
1342,236108755
1343,36951076
1344,33499499
1345,202732682
1346,35451265
1347,38947958
1348,45980929
1349,204070362
1350,36705270
1351,46506939
1352,44161489
1353,40351925
1354,229437815
1355,235593038
1356,49197925
1357,202505532
1358,217254590
1359,37729764
1360,38929503
1361,50814722
1362,49938675
1363,221721081
1364,210427510
1365,47930348
1366,218959944
1367,201947730
1368,48631249
1369,46144755
1370,34841066
1371,227894420
1372,35382501
1373,46493282
1374,32297339
1375,227339527
1376,113245
1377,37402912
1378,36926557
1379,228158149
1380,49649995
1381,205796982
1382,49136937
1383,200064278
1384,37516459
1385,207607583
1386,209174565
1387,47892089
1388,48103064
1389,44194881
1390,210034715
1391,203495851
1392,228167908
1393,33480662
1394,49935807
1395,234797671
1396,47431196
1397,211542139
1398,34841324
1399,36960521
1400,36397503
1401,241580527
1402,211790314
1403,43999665
1404,203559448
1405,37145748
1406,37927131
1407,42166354
1408,231729640
1409,39256558
1410,50384870
1411,42727419
1412,36111118
1413,38853005
1414,215745606
1415,31856901
1416,32967483
1417,241032858
1418,201109173
1419,49303265
1420,218206292
1421,204882934
1422,201247932
1423,48935711
1424,49740955
1425,236138914
1426,35698405
1427,47593465
1428,35929131
1429,241232435
1430,203840972
1431,34318765
1432,230247278
1433,50762521
1434,33546636
1435,217955520
1436,212902688
1437,32963564
1438,211981351
1439,210170690
1440,31821995
1441,217580075
1442,205174419
1443,205555819
1444,236731123
1445,37715808
1446,240452918
1447,49910166
1448,40517042
1449,228619009
1450,211587039
1451,48751281
1452,208003434
1453,40329115
1454,35689583
1455,337295
1456,205271967
1457,233326630
1458,204170113
1459,239632424
1460,37876706
1461,41785508
1462,35237776
1463,226249384
1464,231659650
1465,217111658
1466,32198496
1467,206107158
1468,210260245
1469,36625509
1470,32726652
1471,236001002
1472,242679219
1473,232419370
1474,213587283
1475,206714940
1476,50583272
1477,50286887
