,0
534,236454778
535,211026817
536,227279745
537,212861828
538,208667526
539,209453959
540,232260488
541,235668360
542,218628999
543,209191819
544,235406219
545,236192653
546,209191822
547,31982479
548,32768912
549,232260491
550,48497555
551,238027672
552,206832536
553,210764699
554,215483292
555,201327516
556,209716126
557,228328353
558,32768930
559,214434723
560,37225380
561,43778982
562,212599719
563,213386152
564,39584681
565,213648298
566,47186859
567,211026860
568,42730411
569,202113967
570,226493361
571,231998385
572,240911281
573,218629047
574,202113976
575,38798266
576,219939771
577,43254714
578,40108989
579,206832574
580,200016830
581,244057024
582,39584701
583,203162562
584,215483328
585,39584700
586,51119044
587,38536135
588,238814152
589,234881992
590,214959050
591,223871945
592,208143305
593,44827597
594,234881994
595,51381202
596,200541145
597,787418
598,34603994
599,200803292
600,32768986
601,231736287
602,217842655
603,50332641
604,35128288
605,39584741
606,237241320
607,212861930
608,31982572
609,33293294
610,201589747
611,216531956
612,230425594
613,212337658
614,205784058
615,229639170
616,207881220
617,220988425
618,42992650
619,231736330
620,47186956
621,240124941
622,232522764
623,204211219
624,201851925
625,43779096
626,215483417
627,243270682
628,240387099
629,40371228
630,45089822
631,47449119
632,32769055
633,204997665
634,41157667
635,201327651
636,525349
637,218629158
638,231212070
639,34604072
640,207356966
641,32244774
642,234095659
643,208667697
644,229639219
645,230163511
646,51381304
647,31982648
648,212599866
649,41681975
650,227279933
651,49284159
652,219415616
653,215745606
654,230425670
655,48497744
656,263248
657,42992722
658,225707091
659,48759894
660,50070619
661,42992732
662,525403
663,216794203
664,228590684
665,33031267
666,39584870
667,220202087
668,209978478
669,44827759
670,36439150
671,48759921
672,221250673
673,200541299
674,207881333
675,219939959
676,42468472
677,230950010
678,203949178
679,39322746
680,46138493
681,236192894
682,47449217
683,201589890
684,202638466
685,43779204
686,50332802
687,239862914
688,233047175
689,201065608
690,230425738
691,219415691
692,242222222
693,205522064
694,237765777
695,239600788
696,47973527
697,36701335
698,34604187
699,214697116
700,218104989
701,40371358
702,201327773
703,234882203
704,33555617
705,43254946
706,43779233
707,209454245
708,44041384
709,230425770
710,209978539
711,226493612
712,43517100
713,46400687
714,34079919
715,209978545
716,204735665
717,229377203
718,207881396
719,211551411
720,42468531
721,237241524
722,236979385
723,205259963
724,242222271
725,32244932
726,39322823
727,210765004
728,201589965
729,231736525
730,234882255
731,230950098
732,33293523
733,212600020
734,27788503
735,40109272
736,235144409
737,213648603
738,228852959
739,208930015
740,213386468
741,43255019
742,39322861
743,44303598
744,200803566
745,38798575
746,226493681
747,32769273
748,44303609
749,41420029
750,219677952
751,43255044
752,43255049
753,231212301
754,201590031
755,35652880
756,34080015
757,33555730
758,33555731
759,48760094
760,40109343
761,206046499
762,32245028
763,233309477
764,45352231
765,43779368
766,49284395
767,49808684
768,50857261
769,231212333
770,208667950
771,230163763
772,41944379
773,47973692
774,201327931
775,234358078
776,229115200
777,230425921
778,228853058
779,50332995
780,201852228
781,203687237
782,32507206
783,45614407
784,45352259
785,213648705
786,47449418
787,212337995
788,47711564
789,35915083
790,209978694
791,219940176
792,36701525
793,228590937
794,226493786
795,238028121
796,35390813
797,32507230
798,225707360
799,42730850
800,34342242
801,201065828
802,205522277
803,225707364
804,233047399
805,202376554
806,214435179
807,39322988
808,209978733
809,34866542
810,218629484
811,35915117
812,220202346
813,46400885
814,230163830
815,202638711
816,230425976
817,230425975
818,38798713
819,203425147
820,525692
821,209192316
822,232260991
823,39323008
824,243795329
825,202376580
826,44565895
827,32245128
828,33031563
829,33555851
830,238552461
831,51119501
832,40633743
833,228066704
834,1312145
835,40633746
836,234358157
837,44303764
838,230426007
839,218367386
840,34342298
841,237241755
842,37225887
843,48498082
844,240911779
845,226493858
846,35128742
847,236979623
848,37225900
849,208143791
850,204211633
851,525745
852,37225910
853,209192374
854,228853181
855,43255230
856,36701633
857,211551682
858,209192387
859,236193221
